mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_preprocess__text__ufs__percentile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.70438738,0.198138967,6.370097303,0.290283227,0.3,1,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 1}",0.629449838,0.611202636,0.661303298,0.659744409,0.656076251,0.643555287,0.019897295,77
26.62080278,0.350840957,6.638899231,0.441649728,0.3,2,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 2}",0.656534954,0.640127389,0.673981191,0.677544678,0.670237184,0.663685079,0.013763121,23
26.41866498,0.295128847,6.476418877,0.332458763,0.3,5,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 5}",0.666179693,0.646176912,0.668128655,0.676161919,0.686004351,0.668530306,0.013182903,3
26.5528008,0.386354209,6.800176573,0.376827438,0.3,10,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 10}",0.661450925,0.639308855,0.670931059,0.663323782,0.675432526,0.662089429,0.012466744,35
26.8500833,0.381636889,6.628500509,0.479794988,0.3,15,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 15}",0.671830986,0.633356791,0.669473684,0.66384778,0.673987646,0.662499377,0.014958668,31
26.57511115,0.39179246,6.675647545,0.443740017,0.3,20,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 20}",0.665277778,0.628373702,0.674079222,0.665271967,0.67630854,0.661862242,0.017336231,36
26.74982166,0.16174111,6.7327353,0.500028309,0.3,50,"{'clf__alpha': 0.3, 'preprocess__text__ufs__percentile': 50}",0.645204561,0.631074606,0.670731707,0.664819945,0.655495979,0.65346536,0.014147533,62
26.57383051,0.228064155,6.79583478,0.381189452,0.5,1,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 1}",0.628757108,0.610421836,0.661277284,0.659694288,0.657051282,0.64344036,0.020363811,78
26.74392576,0.304107702,6.59027009,0.413914817,0.5,2,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 2}",0.658950617,0.638641876,0.668779715,0.675527756,0.67027027,0.662434047,0.013048531,33
26.61303072,0.291339834,6.653860474,0.335379106,0.5,5,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 5}",0.665217,0.667649,0.677818,0.685544,0.706395,0.680525,0.012189202,1
26.17466068,0.116334474,6.472502804,0.182207605,0.5,10,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 10}",0.662280702,0.640648012,0.673395818,0.670072993,0.676595745,0.664598654,0.012886387,19
25.9921248,0.352237992,6.795071793,0.622838446,0.5,15,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 15}",0.667148014,0.636693256,0.679163663,0.672426206,0.674631061,0.66601244,0.015160975,16
26.36248417,0.539603288,6.366906309,0.528133633,0.5,20,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 20}",0.668571429,0.629470672,0.679029957,0.665708124,0.677396781,0.664035393,0.018008094,20
25.98936868,0.358300337,6.498449087,0.329039547,0.5,50,"{'clf__alpha': 0.5, 'preprocess__text__ufs__percentile': 50}",0.65954416,0.635460993,0.665726375,0.675381264,0.668994413,0.661021441,0.013765377,39
