"Name","Runtime","Notes","learning_rate","num_train_epochs","Training loss","auprc","auroc","eval_loss","fn","fp","global_step","lr","mcc","tn","tp","train_loss"
"feasible-sweep-2","526","Highest MCC","0.000017260792770726243","2","0.006711847148835659","0.8555200339047393","0.9352087046156766","0.3943696802922835","188","100","3000","0","0.703356135027066","2256","456","0.006711847148835659"
"fearless-sweep-13","291","-","0.000032388397762186736","1","0.11211389303207396","0.8479685617636845","0.9347302117495704","0.2885630218659838","199","101","1500","0","0.689692379640725","2255","445","0.11211389303207396"
"robust-sweep-15","294","-","0.000013454505946600698","1","0.034625615924596786","0.8513985247436493","0.9344158300730788","0.3008299153794845","189","118","1500","0","0.6856639717551829","2238","455","0.034625615924596786"
"desert-sweep-10","550","-","0.000024978623209827125","2","0.007483310997486115","0.8516058986406778","0.9365858545381688","0.4109854835681617","197","110","3000","0","0.6836293490741253","2246","447","0.007483310997486115"
"soft-sweep-16","294","-","0.000013080425313875427","1","0.02982420474290848","0.8525607779444772","0.9347226323171182","0.30492646254537004","194","114","1500","0","0.683460355892191","2242","450","0.02982420474290848"
"major-sweep-9","807","-","0.00002811443395674876","3","0.007373574189841747","0.8448206508467675","0.9310146421453354","0.5114170016528418","179","136","4500","0","0.6814886664679585","2220","465","0.007373574189841747"
"dainty-sweep-11","304","-","0.000020628330453050472","1","0.022970162332057953","0.8538481245519672","0.9380625257041622","0.29437373475109535","201","109","1500","0","0.6798850426582211","2247","443","0.022970162332057953"
"devoted-sweep-14","292","-","0.000007748092350928074","1","0.06155044212937355","0.8499079422956826","0.9334044701515358","0.3069553176785509","185","132","1500","0","0.6779368767339563","2224","459","0.06155044212937355"
"azure-sweep-6","1285","-","0.000018731675443451225","5","0.00033258774783462286","0.8370442752298916","0.9199457049003996","0.7075151261553789","167","157","7500","0","0.6779027235510102","2199","477","0.00033258774783462286"
"wise-sweep-5","1326","-","0.00003953670443024837","5","0.0035437392070889473","0.8267003447572085","0.9201602357928482","0.5064448991063982","207","110","7500","0","0.6719302746949143","2246","437","0.0035437392070889473"
"golden-sweep-12","851","-","0.00003982383332826878","3","0.011455032043159008","0.8336089083629173","0.9254061916713244","0.4688263125565524","191","132","4500","0","0.6709024557618608","2224","453","0.011455032043159008"
"hearty-sweep-4","1275","-","0.000023020394995287","5","0.0007807370857335627","0.8314370618783473","0.9213716268230182","0.6496490424340591","190","137","7500","0","0.667731041753678","2219","454","0.0007807370857335627"
"vocal-sweep-7","299","-","0.000039609221935677504","1","0.047259312123060226","0.8417467773694035","0.9309289616045724","0.2985897182375193","217","103","1500","0","0.6667499554306637","2253","427","0.047259312123060226"
"fluent-sweep-1","1246","-","0.000016440164676612284","5","0.0003870695945806802","0.8302511892423914","0.9103353140916808","0.725603011449799","164","177","7500","0","0.6653887057060572","2179","480","0.0003870695945806802"
"twilight-sweep-3","1265","-","0.000016130350369462758","5","0.0005186141352169216","0.8311052383112717","0.9180192108954012","0.7280540843423611","162","184","7500","0","0.6622833382091263","2172","482","0.0005186141352169216"
